Datum;plusminus
09.05.2017;-0,1
08.05.2017;0
05.05.2017;0,41
04.05.2017;0,06
03.05.2017;-0,13
02.05.2017;0,12
01.05.2017;0,17
28.04.2017;-0,19
27.04.2017;0,06
26.04.2017;-0,05
25.04.2017;0,61
24.04.2017;1,08
21.04.2017;-0,3
20.04.2017;0,76
19.04.2017;-0,17
18.04.2017;-0,29
17.04.2017;0,86
13.04.2017;-0,68
12.04.2017;-0,38
11.04.2017;-0,14
10.04.2017;0,07
07.04.2017;-0,08
06.04.2017;0,19
05.04.2017;-0,31
04.04.2017;0,06
03.04.2017;-0,16
31.03.2017;-0,23
30.03.2017;0,29
29.03.2017;0,11
28.03.2017;0,73
27.03.2017;-0,1
24.03.2017;-0,08
23.03.2017;-0,11
22.03.2017;0,19
21.03.2017;-1,24
20.03.2017;-0,2
17.03.2017;-0,13
16.03.2017;-0,16
15.03.2017;0,84
14.03.2017;-0,34
13.03.2017;0,04
10.03.2017;0,33
09.03.2017;0,08
08.03.2017;-0,23
07.03.2017;-0,29
06.03.2017;-0,33
03.03.2017;0,05
02.03.2017;-0,59
01.03.2017;1,37
28.02.2017;-0,26
27.02.2017;0,1
24.02.2017;0,15
23.02.2017;0,04
22.02.2017;-0,11
21.02.2017;0,6
17.02.2017;0,17
16.02.2017;-0,09
15.02.2017;0,5
14.02.2017;0,4
13.02.2017;0,52
10.02.2017;0,36
09.02.2017;0,58
08.02.2017;0,07
07.02.2017;0,02
06.02.2017;-0,21
03.02.2017;0,73
02.02.2017;0,06
01.02.2017;0,03
31.01.2017;-0,09
30.01.2017;-0,6
27.01.2017;-0,09
26.01.2017;-0,07
25.01.2017;0,8
24.01.2017;0,66
23.01.2017;-0,27
20.01.2017;0,34
19.01.2017;-0,36
18.01.2017;0,18
17.01.2017;-0,3
13.01.2017;0,18
12.01.2017;-0,21
11.01.2017;0,28
10.01.2017;0
09.01.2017;-0,35
06.01.2017;0,35
05.01.2017;-0,08
04.01.2017;0,57
03.01.2017;0,85
30.12.2016;-0,46
29.12.2016;-0,03
28.12.2016;-0,84
27.12.2016;0,22
23.12.2016;0,13
22.12.2016;-0,19
21.12.2016;-0,25
20.12.2016;0,36
19.12.2016;0,2
16.12.2016;-0,18
15.12.2016;0,39
14.12.2016;-0,81
13.12.2016;0,65
12.12.2016;-0,11
09.12.2016;0,59
08.12.2016;0,22
07.12.2016;1,32
06.12.2016;0,34
05.12.2016;0,58
02.12.2016;0,04
01.12.2016;-0,35
30.11.2016;-0,27
29.11.2016;0,13
28.11.2016;-0,53
25.11.2016;0,39
23.11.2016;0,08
22.11.2016;0,22
21.11.2016;0,75
18.11.2016;-0,24
17.11.2016;0,47
16.11.2016;-0,16
15.11.2016;0,75
14.11.2016;-0,01
11.11.2016;-0,14
10.11.2016;0,2
09.11.2016;1,11
08.11.2016;0,38
07.11.2016;2,22
04.11.2016;-0,17
03.11.2016;-0,44
02.11.2016;-0,65
01.11.2016;-0,68
31.10.2016;-0,01
28.10.2016;-0,31
27.10.2016;-0,3
26.10.2016;-0,17
25.10.2016;-0,38
24.10.2016;0,47
21.10.2016;-0,01
20.10.2016;-0,14
19.10.2016;0,22
18.10.2016;0,62
17.10.2016;-0,3
14.10.2016;0,02
13.10.2016;-0,31
12.10.2016;0,11
11.10.2016;-1,24
10.10.2016;0,46
07.10.2016;-0,33
06.10.2016;0,05
05.10.2016;0,43
04.10.2016;-0,5
03.10.2016;-0,33
30.09.2016;0,8
29.09.2016;-0,93
28.09.2016;0,53
27.09.2016;0,64
26.09.2016;-0,86
23.09.2016;-0,57
22.09.2016;0,65
21.09.2016;1,09
20.09.2016;0,03
19.09.2016;0
16.09.2016;-0,38
15.09.2016;1,01
14.09.2016;-0,06
13.09.2016;-1,48
12.09.2016;1,47
09.09.2016;-2,45
08.09.2016;-0,22
07.09.2016;-0,01
06.09.2016;0,3
02.09.2016;0,42
01.09.2016;0
31.08.2016;-0,24
30.08.2016;-0,2
29.08.2016;0,52
26.08.2016;-0,16
25.08.2016;-0,14
24.08.2016;-0,52
23.08.2016;0,2
22.08.2016;-0,06
19.08.2016;-0,14
18.08.2016;0,22
17.08.2016;0,19
16.08.2016;-0,55
15.08.2016;0,28
12.08.2016;-0,08
11.08.2016;0,47
10.08.2016;-0,29
09.08.2016;0,04
08.08.2016;-0,09
05.08.2016;0,86
04.08.2016;0,02
03.08.2016;0,31
02.08.2016;-0,64
01.08.2016;-0,13
29.07.2016;0,16
28.07.2016;0,16
27.07.2016;-0,12
26.07.2016;0,03
25.07.2016;-0,3
22.07.2016;0,46
21.07.2016;-0,36
20.07.2016;0,43
19.07.2016;-0,14
18.07.2016;0,24
15.07.2016;-0,09
14.07.2016;0,53
13.07.2016;0,01
12.07.2016;0,7
11.07.2016;0,34
08.07.2016;1,53
07.07.2016;-0,09
06.07.2016;0,54
05.07.2016;-0,68
01.07.2016;0,19
30.06.2016;1,36
29.06.2016;1,7
28.06.2016;1,78
27.06.2016;-1,81
24.06.2016;-3,59
23.06.2016;1,34
22.06.2016;-0,17
21.06.2016;0,27
20.06.2016;0,58
17.06.2016;-0,33
16.06.2016;0,31
15.06.2016;-0,18
14.06.2016;-0,18
13.06.2016;-0,81
10.06.2016;-0,92
09.06.2016;-0,17
08.06.2016;0,33
07.06.2016;0,13
06.06.2016;0,49
03.06.2016;-0,29
02.06.2016;0,28
01.06.2016;0,11
31.05.2016;-0,1
27.05.2016;0,43
26.05.2016;-0,02
25.05.2016;0,7
24.05.2016;1,37
23.05.2016;-0,21
20.05.2016;0,6
19.05.2016;-0,37
18.05.2016;0,02
17.05.2016;-0,94
16.05.2016;0,98
13.05.2016;-0,85
12.05.2016;-0,02
11.05.2016;-0,96
10.05.2016;1,25
09.05.2016;0,08
06.05.2016;0,32
05.05.2016;-0,02
04.05.2016;-0,59
03.05.2016;-0,87
02.05.2016;0,78
29.04.2016;-0,51
28.04.2016;-0,92
27.04.2016;0,16
26.04.2016;0,19
25.04.2016;-0,18
22.04.2016;0
21.04.2016;-0,52
20.04.2016;0,08
19.04.2016;0,31
18.04.2016;0,65
15.04.2016;-0,1
14.04.2016;0,02
13.04.2016;1
12.04.2016;0,97
11.04.2016;-0,27
08.04.2016;0,28
07.04.2016;-1,2
06.04.2016;1,05
05.04.2016;-1,01
04.04.2016;-0,32
01.04.2016;0,63
